CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,PaperlessBilling_Label,Contract_One year,Contract_Two year,PaymentMethod_Credit Card,PaymentMethod_Electronic Check,Contract_Ordinal,Tenure_minmax,MonthlyCharges_minmax,TotalCharges_minmax,Tenure_standard,MonthlyCharges_standard,TotalCharges_standard,AvgMonthlySpend,CustomerLifetimeValue,PaymentEfficiency,TenureGroup,HighValueCustomer,IsLongTermContract
C00034,32,195,7139,One year,Bank Transfer,Yes,1,0,1,1.0,0.0,0.0,0.0,1.0,0.44285714285714284,0.9776536312849163,0.8911017490105961,-0.21950580030717656,1.5723096248012485,1.2846138166192846,223.09,6240,1.144,Established,1,1
C00035,60,44,1302,One year,Credit Card,No,1,0,0,1.0,0.0,1.0,0.0,1.0,0.8428571428571429,0.13407821229050282,0.14592110302566066,1.1366641927645245,-1.3456731851022532,-1.3000073010349313,21.7,2640,0.493,Loyal,0,1
C00036,50,116,690,Month-to-month,Credit Card,No,1,0,0,0.0,0.0,1.0,0.0,0.0,0.7000000000000001,0.5363128491620112,0.06779011872845653,0.6523177666674883,0.04568285670603901,-1.5710006407649948,13.8,5800,0.119,Loyal,1,0
C00037,37,42,947,Month-to-month,Electronic Check,No,0,0,0,0.0,0.0,0.0,1.0,0.0,0.5142857142857143,0.12290502793296089,0.1006000255330014,0.02266741274134146,-1.3843219640413724,-1.457201150061357,25.59,1554,0.609,Loyal,0,0
C00038,62,166,6225,Two year,Electronic Check,Yes,1,0,1,0.0,1.0,0.0,1.0,2.0,0.8714285714285714,0.8156424581005587,0.7744159325928762,1.2335334779839315,1.0119023301840198,0.8798950053230788,100.4,10292,0.605,Loyal,1,1
C00039,50,84,858,Month-to-month,Credit Card,No,0,0,0,0.0,0.0,1.0,0.0,0.0,0.7000000000000001,0.3575418994413408,0.08923783990808119,0.6523177666674883,-0.5726976063198687,-1.496610312211644,17.16,4200,0.204,Loyal,0,0
C00040,26,151,1952,Two year,Electronic Check,No,0,0,0,0.0,1.0,0.0,1.0,2.0,0.35714285714285715,0.7318435754189945,0.22890335758968466,-0.5101136559653983,0.7220364881406255,-1.0121875774654194,75.08,3926,0.497,Established,1,1
C00041,42,20,1950,Two year,Credit Card,Yes,1,0,1,0.0,1.0,1.0,0.0,2.0,0.5857142857142857,0.0,0.2286480275756415,0.2648406257898595,-1.8094585323716839,-1.0130731766148642,46.43,840,2.321,Loyal,0,1
C00042,7,148,2701,Two year,Credit Card,Yes,0,0,1,0.0,1.0,1.0,0.0,2.0,0.0857142857142857,0.7150837988826816,0.32452444784884465,-1.4303718655497668,0.6640633197319467,-0.6805306959983974,385.86,1036,2.607,New,1,1
C00043,63,89,6547,One year,Electronic Check,Yes,0,0,1,1.0,0.0,0.0,1.0,1.0,0.8857142857142858,0.38547486033519557,0.8155240648538236,1.2819681205936353,-0.47607565897207055,1.0224764683836678,103.92,5607,1.168,Loyal,0,1
C00044,42,123,3913,Month-to-month,Credit Card,No,1,0,0,0.0,0.0,1.0,0.0,0.0,0.5857142857142857,0.5754189944134078,0.479254436358994,0.2648406257898595,0.1809535829929563,-0.1438576114349385,93.17,5166,0.757,Loyal,1,0
C00045,34,93,3344,Two year,Credit Card,Yes,0,0,1,0.0,1.0,1.0,0.0,2.0,0.4714285714285714,0.4078212290502794,0.4066130473637176,-0.12263651508776936,-0.3987781010938321,-0.39581056945194193,98.35,3162,1.058,Established,0,1
C00046,32,170,4773,Two year,Credit Card,No,1,0,0,0.0,1.0,1.0,0.0,2.0,0.44285714285714284,0.8379888268156425,0.5890463423975488,-0.21950580030717656,1.0891998880622582,0.23695002282626174,149.16,5440,0.877,Established,1,1
C00047,22,46,7555,Month-to-month,Bank Transfer,No,1,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.1452513966480447,0.9442103919315715,-0.7038522264042126,-1.307024406163134,1.4688184397037722,343.41,1012,7.465,Established,0,0
C00048,37,162,3735,Month-to-month,Electronic Check,Yes,1,0,1,0.0,0.0,0.0,1.0,0.0,0.5142857142857143,0.7932960893854749,0.4565300651091536,0.02266741274134146,0.9346047723057812,-0.2226759357355125,100.95,5994,0.623,Loyal,1,0
C00049,56,49,3376,Month-to-month,Bank Transfer,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.16201117318435754,0.410698327588408,0.94292562232571,-1.2490512377544551,-0.3816409830608275,60.29,2744,1.23,Loyal,0,0
C00050,49,121,5161,One year,Bank Transfer,Yes,0,0,1,1.0,0.0,0.0,0.0,1.0,0.6857142857142857,0.5642458100558659,0.6385803651219201,0.6038831240577848,0.14230480405383708,0.4087562578185242,105.33,5929,0.87,Loyal,1,1
C00051,71,172,416,Month-to-month,Electronic Check,No,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.8491620111731844,0.032809906804544875,1.669445261471264,1.1278486670013774,-1.692327724238912,5.86,12212,0.034,Loyal,1,0
C00052,31,154,7537,Two year,Credit Card,Yes,1,0,1,0.0,1.0,1.0,0.0,2.0,0.42857142857142855,0.7486033519553073,0.9419124218051832,-0.2679404429168802,0.7800096565493043,1.4608480473587704,243.13,4774,1.579,Established,1,1
C00053,53,48,1497,One year,Credit Card,No,0,0,0,1.0,0.0,1.0,0.0,1.0,0.7428571428571429,0.1564245810055866,0.17081577939486786,0.7976216944965991,-1.2683756272240148,-1.2136613839640777,28.25,2544,0.588,Loyal,0,1
C00054,49,68,2615,Month-to-month,Bank Transfer,Yes,1,0,1,0.0,0.0,0.0,0.0,0.0,0.6857142857142857,0.2681564245810056,0.31354525724498916,0.6038831240577848,-0.8818878378328224,-0.7186114594245174,53.37,3332,0.785,Loyal,0,0
C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,1,0,0.0,0.0,0.0,0.0,0.0,0.11428571428571427,0.7653631284916201,0.8761649431890718,-1.3335025803303595,0.8379828249579832,1.2328062663767727,780.22,1413,4.97,New,1,0
C00056,47,54,6827,Two year,Bank Transfer,Yes,0,0,1,0.0,1.0,0.0,0.0,2.0,0.6571428571428571,0.1899441340782123,0.8512702668198646,0.5070138388383775,-1.152429290406657,1.1464603493059191,145.26,2538,2.69,Loyal,0,1
C00057,58,121,3537,One year,Credit Card,No,1,0,0,1.0,0.0,1.0,0.0,1.0,0.8142857142857143,0.5642458100558659,0.4312523937188817,1.0397949075451172,0.14230480405383708,-0.31035025153053303,60.98,7018,0.504,Loyal,1,1
C00058,59,72,7053,Month-to-month,Bank Transfer,Yes,0,0,1,0.0,0.0,0.0,0.0,0.0,0.8285714285714286,0.2905027932960894,0.8801225584067407,1.0882295501548207,-0.804590279954584,1.2465330531931647,119.54,4248,1.66,Loyal,0,0
C00059,36,38,3792,One year,Bank Transfer,Yes,1,0,1,1.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.10055865921787709,0.4638069705093834,-0.02576722986836215,-1.4616195219196109,-0.19743635997633993,105.33,1368,2.772,Established,0,1
C00060,26,182,7074,Month-to-month,Credit Card,No,0,0,0,0.0,0.0,1.0,0.0,0.0,0.35714285714285715,0.9050279329608938,0.8828035235541938,-0.5101136559653983,1.3210925616969735,1.2558318442623335,272.08,4732,1.495,Established,1,0
C00061,23,187,5608,Month-to-month,Electronic Check,No,1,0,0,0.0,0.0,0.0,1.0,0.0,0.3142857142857143,0.9329608938547486,0.6956466232605643,-0.655417583794509,1.4177145090447716,0.6066876677194039,243.83,4301,1.304,Established,1,0
C00062,10,195,4284,Two year,Electronic Check,No,0,1,0,0.0,1.0,0.0,1.0,2.0,0.12857142857142856,0.9776536312849163,0.5266181539639985,-1.285067937720656,1.5723096248012485,0.020421030787044398,428.4,1950,2.197,New,1,1
C00063,53,128,5803,One year,Bank Transfer,No,0,0,0,1.0,0.0,0.0,0.0,1.0,0.7428571428571429,0.6033519553072626,0.7205412996297714,0.7976216944965991,0.2775755303407544,0.6930335847902573,109.49,6784,0.855,Loyal,1,1
C00064,25,176,4496,One year,Bank Transfer,No,1,0,0,1.0,0.0,0.0,0.0,1.0,0.34285714285714286,0.8715083798882682,0.5536831354525724,-0.5585482985751018,1.2051462248796159,0.11429454062817748,179.84,4400,1.022,Established,1,1
C00065,65,180,4142,One year,Credit Card,Yes,0,0,1,1.0,0.0,1.0,0.0,1.0,0.9142857142857143,0.893854748603352,0.5084897229669347,1.3788374058130424,1.2824437827578543,-0.042456508823525876,63.72,11700,0.354,Loyal,1,1
C00066,3,140,2541,One year,Electronic Check,No,1,0,0,1.0,0.0,0.0,1.0,1.0,0.028571428571428574,0.670391061452514,0.3040980467253926,-1.6241104359885812,0.5094682039754698,-0.7513786279539696,847.0,420,6.05,New,1,1
C00067,53,61,3631,One year,Bank Transfer,No,0,0,0,1.0,0.0,0.0,0.0,1.0,0.7428571428571429,0.22905027932960897,0.44325290437890974,0.7976216944965991,-1.0171585641197398,-0.2687270915066344,68.51,3233,1.123,Loyal,0,1
C00068,62,62,3016,Two year,Credit Card,Yes,0,0,1,0.0,1.0,1.0,0.0,2.0,0.8714285714285714,0.23463687150837992,0.3647389250606409,1.2335334779839315,-0.9978341746501801,-0.5410488299608648,48.65,3844,0.785,Loyal,0,1
C00069,2,102,1333,Two year,Credit Card,Yes,0,1,1,0.0,1.0,1.0,0.0,2.0,0.014285714285714285,0.45810055865921795,0.1498787182433295,-1.6725450785982847,-0.22485859586779558,-1.2862805142185392,666.5,204,6.534,New,0,1
C00070,53,21,6828,One year,Credit Card,No,0,0,0,1.0,0.0,1.0,0.0,1.0,0.7428571428571429,0.005586592178770944,0.8513979318268862,0.7976216944965991,-1.7901341429021242,1.1469031488806414,128.83,1113,6.135,Loyal,0,1
C00071,69,153,1418,Month-to-month,Electronic Check,No,0,0,0,0.0,0.0,0.0,1.0,0.0,0.9714285714285714,0.7430167597765364,0.1607302438401634,1.5725759762518567,0.7606852670797447,-1.2486425503671414,20.55,10557,0.134,Loyal,1,0
C00072,68,153,1930,One year,Electronic Check,Yes,0,0,1,1.0,0.0,0.0,1.0,1.0,0.9571428571428572,0.7430167597765364,0.22609472743521,1.5241413336421532,0.7606852670797447,-1.0219291681093108,28.38,10404,0.186,Loyal,1,1
C00073,13,125,3696,Two year,Credit Card,No,1,0,0,0.0,1.0,1.0,0.0,2.0,0.17142857142857143,0.5865921787709497,0.45155112983531215,-1.1397640098915451,0.21960236193207552,-0.23994511914968322,284.31,1625,2.274,Established,1,1
C00074,2,152,2038,Month-to-month,Bank Transfer,No,0,1,0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.7374301675977654,0.23988254819354013,-1.6725450785982847,0.7413608776101851,-0.9741068140392994,1019.0,304,6.704,New,1,0
C00075,70,77,7593,Two year,Electronic Check,Yes,0,0,1,0.0,1.0,0.0,1.0,2.0,0.9857142857142858,0.31843575418994413,0.9490616621983914,1.6210106188615605,-0.7079683326067859,1.4856448235432207,108.47,5390,1.409,Loyal,0,1
C00076,35,170,936,One year,Bank Transfer,Yes,0,0,1,1.0,0.0,0.0,0.0,1.0,0.4857142857142857,0.8379888268156425,0.09919571045576407,-0.07420187247806576,1.0891998880622582,-1.4620719453833027,26.74,5950,0.157,Established,1,1
C00077,4,43,7302,Month-to-month,Credit Card,Yes,0,1,1,0.0,0.0,1.0,0.0,0.0,0.04285714285714286,0.12849162011173182,0.911911145155113,-1.5756757933788776,-1.3649975745718128,1.3567901472990238,1825.5,172,42.453,New,0,0
C00078,41,109,7937,Two year,Bank Transfer,Yes,1,0,1,0.0,1.0,0.0,0.0,2.0,0.5714285714285715,0.4972067039106145,0.9929784246138132,0.2164059831801559,-0.08958786958087829,1.6379678772477009,193.59,4469,1.776,Loyal,0,1
C00079,8,95,3792,One year,Bank Transfer,Yes,1,0,1,1.0,0.0,0.0,0.0,1.0,0.09999999999999999,0.4189944134078213,0.4638069705093834,-1.381937222940063,-0.3601293221547129,-0.19743635997633993,474.0,760,4.989,New,0,1
C00080,47,138,6406,Two year,Credit Card,Yes,0,0,1,0.0,1.0,1.0,0.0,2.0,0.6571428571428571,0.6592178770949721,0.7975232988637814,0.5070138388383775,0.4708194250363505,0.9600417283478199,136.3,6486,0.988,Loyal,1,1
C00081,35,139,5211,Two year,Bank Transfer,No,0,0,0,0.0,1.0,0.0,0.0,2.0,0.4857142857142857,0.664804469273743,0.6449636154729989,-0.07420187247806576,0.49014381450591016,0.4308962365546405,148.89,4865,1.071,Established,1,1
C00082,30,162,3917,One year,Credit Card,No,0,0,0,1.0,0.0,1.0,0.0,1.0,0.41428571428571426,0.7932960893854749,0.47976509638708037,-0.3163750855265838,0.9346047723057812,-0.1420864131360492,130.57,4860,0.806,Established,1,1
C00083,27,142,1908,Two year,Bank Transfer,No,1,0,0,0.0,1.0,0.0,0.0,2.0,0.3714285714285714,0.6815642458100559,0.22328609728073534,-0.4616790133556946,0.548116982914589,-1.031670758753202,70.67,3834,0.498,Established,1,1
C00084,50,141,4412,Month-to-month,Credit Card,No,0,0,0,0.0,0.0,1.0,0.0,0.0,0.7000000000000001,0.6759776536312849,0.5429592748627601,0.6523177666674883,0.5287925934450294,0.0770993763515021,88.24,7050,0.626,Loyal,1,0
C00085,51,136,4725,Two year,Bank Transfer,Yes,1,0,1,0.0,1.0,0.0,0.0,2.0,0.7142857142857143,0.6480446927374302,0.5829184220605131,0.700752409277192,0.43217064609723127,0.2156956432395901,92.65,6936,0.681,Loyal,1,1
C00086,63,29,7685,Two year,Credit Card,Yes,1,0,1,0.0,1.0,1.0,0.0,2.0,0.8857142857142858,0.050279329608938536,0.9608068428443763,1.2819681205936353,-1.6355390271456474,1.5263823844176747,121.98,1827,4.206,Loyal,0,1
C00087,43,103,2856,One year,Electronic Check,No,1,0,0,1.0,0.0,0.0,1.0,1.0,0.6,0.46368715083798884,0.3443125239371888,0.3132752683995631,-0.20553420639823597,-0.6118967619164369,66.42,4429,0.645,Loyal,0,1
C00088,40,108,2650,One year,Electronic Check,No,1,0,0,1.0,0.0,0.0,1.0,1.0,0.5571428571428572,0.4916201117318436,0.3180135324907443,0.16797134057045227,-0.1089122590504379,-0.7031134743092361,66.25,4320,0.613,Loyal,0,1
C00089,41,177,4075,One year,Bank Transfer,Yes,0,0,1,1.0,0.0,0.0,0.0,1.0,0.5714285714285715,0.8770949720670391,0.4999361674964892,0.2164059831801559,1.2244706143491755,-0.07212408032992171,99.39,7257,0.562,Loyal,1,1
C00090,21,126,7735,One year,Credit Card,Yes,0,0,1,1.0,0.0,1.0,0.0,1.0,0.2857142857142857,0.5921787709497207,0.9671900931954551,-0.7522868690139163,0.23892675140163516,1.548522363153791,368.33,2646,2.923,Established,1,1
C00091,3,188,2422,Two year,Credit Card,No,1,0,0,0.0,1.0,1.0,0.0,2.0,0.028571428571428574,0.9385474860335196,0.28890591088982515,-1.6241104359885812,1.4370388985143312,-0.8040717773459264,807.33,564,4.294,New,1,1
C00092,42,122,1294,Two year,Bank Transfer,No,0,0,0,0.0,1.0,0.0,0.0,2.0,0.5857142857142857,0.5698324022346369,0.14489978296948805,0.2648406257898595,0.1616291935233967,-1.30354969763271,30.81,5124,0.253,Loyal,1,1
C00093,18,29,7469,Month-to-month,Electronic Check,Yes,0,0,1,0.0,0.0,0.0,1.0,0.0,0.24285714285714283,0.050279329608938536,0.933231201327716,-0.897590796843027,-1.6355390271456474,1.4307376762776522,414.94,522,14.308,Established,0,0
C00094,55,193,4344,Two year,Bank Transfer,No,1,0,0,0.0,1.0,0.0,0.0,2.0,0.7714285714285715,0.9664804469273743,0.534278054385293,0.8944909797160063,1.5336608458621293,0.04698900527038395,78.98,10615,0.409,Loyal,1,1
C00095,21,140,3171,One year,Electronic Check,No,1,0,0,1.0,0.0,0.0,1.0,1.0,0.2857142857142857,0.670391061452514,0.3845270011489851,-0.7522868690139163,0.5094682039754698,-0.4724148958789043,151.0,2940,1.079,Established,1,1
C00096,20,150,1780,Month-to-month,Electronic Check,Yes,0,0,1,0.0,0.0,0.0,1.0,0.0,0.2714285714285714,0.7262569832402235,0.2069449763819737,-0.8007215116236198,0.7027120986710659,-1.0883491043176596,89.0,3000,0.593,Established,1,0
C00097,15,40,510,Month-to-month,Bank Transfer,No,0,0,0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.111731843575419,0.044810417464572955,-1.0428947246721378,-1.4229707429804916,-1.6507045642150133,34.0,600,0.85,Established,0,0
C00098,42,172,1168,Month-to-month,Bank Transfer,No,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5857142857142857,0.8491620111731844,0.12881399208476957,0.2648406257898595,1.1278486670013774,-1.359342444047723,27.81,7224,0.162,Loyal,1,0
C00099,10,143,3353,Two year,Electronic Check,No,1,1,0,0.0,1.0,0.0,1.0,2.0,0.12857142857142856,0.6871508379888268,0.4077620324269118,-1.285067937720656,0.5674413723841486,-0.391825373279441,335.3,1430,2.345,New,1,1
C00100,39,84,7566,One year,Electronic Check,No,1,0,0,1.0,0.0,0.0,1.0,1.0,0.5428571428571429,0.3575418994413408,0.9456147070088088,0.11953669796074867,-0.5726976063198687,1.4736892350257178,194.0,3276,2.31,Loyal,0,1
C00101,66,170,1059,Month-to-month,Electronic Check,No,1,0,0,0.0,0.0,0.0,1.0,0.0,0.9285714285714286,0.8379888268156425,0.11489850631941784,1.4272720484227461,1.0891998880622582,-1.4076075976924565,16.05,11220,0.094,Loyal,1,0
C00102,50,130,1087,One year,Electronic Check,Yes,1,0,1,1.0,0.0,0.0,1.0,1.0,0.7000000000000001,0.6145251396648045,0.11847312651602196,0.6523177666674883,0.3162243092798736,-1.3952092096002313,21.74,6500,0.167,Loyal,1,1
C00103,44,78,6369,One year,Bank Transfer,Yes,1,0,1,1.0,0.0,0.0,0.0,1.0,0.6142857142857143,0.32402234636871513,0.7927996936039831,0.3617099110092667,-0.6886439431372263,0.9436581440830938,144.75,3432,1.856,Loyal,0,1
C00104,7,39,6651,One year,Electronic Check,Yes,1,0,1,1.0,0.0,0.0,1.0,1.0,0.0857142857142857,0.10614525139664806,0.8288012255840673,-1.4303718655497668,-1.4422951324500513,1.0685276241547896,950.14,273,24.363,New,0,1
C00105,3,115,5547,Two year,Bank Transfer,No,0,1,0,0.0,1.0,0.0,0.0,2.0,0.028571428571428574,0.5307262569832403,0.6878590578322481,-1.6241104359885812,0.0263584672364794,0.579676893661342,1849.0,345,16.078,New,0,1
C00106,21,75,7026,Two year,Bank Transfer,Yes,1,0,1,0.0,1.0,0.0,0.0,2.0,0.2857142857142857,0.30726256983240224,0.8766756032171581,-0.7522868690139163,-0.7466171115459052,1.234577464675662,334.57,1575,4.461,Established,0,1
C00107,3,59,7111,Month-to-month,Credit Card,Yes,1,1,1,0.0,0.0,1.0,0.0,0.0,0.028571428571428574,0.21787709497206703,0.887527128813992,-1.6241104359885812,-1.055807343058859,1.2722154285270597,2370.33,177,40.175,New,0,0
C00108,18,56,7925,One year,Electronic Check,No,0,0,0,1.0,0.0,0.0,1.0,1.0,0.24285714285714283,0.2011173184357542,0.9914464445295544,-0.897590796843027,-1.1137805114675379,1.6326542823510328,440.28,1008,7.862,Established,0,1
